实验名称,配置说明,每轮参与客户端数 k,全局训练轮数,本地训练轮数,聚合系数 lambda,学习率,最终准确率(%),最佳准确率(%),最终损失,最小损失
fedavg_k3_ge10_le1_fixed_fc,每轮选择 3 个客户端参与聚合,3,10,1,0.1,0.001,45.7,45.7,1.5792669120788574,1.5792669120788574
fedavg_k5_ge10_le1_fixed_fc,每轮选择 5 个客户端参与聚合,5,10,1,0.1,0.001,50.870000000000005,50.870000000000005,1.3996699859619142,1.3996699859619142
