experiment,global_epoch,k,no_models,local_epochs,lambda,lr,accuracy,loss,selected_clients
fedavg_k3_ge10_le1_fixed_fc,1,3,10,1,0.1,0.001,14.31,2.299608027648926,"[1, 0, 4]"
fedavg_k3_ge10_le1_fixed_fc,2,3,10,1,0.1,0.001,19.82,2.1762210868835448,"[3, 9, 2]"
fedavg_k3_ge10_le1_fixed_fc,3,3,10,1,0.1,0.001,26.529999999999998,2.0720536262512206,"[1, 8, 9]"
fedavg_k3_ge10_le1_fixed_fc,4,3,10,1,0.1,0.001,32.86,1.9709950714111328,"[9, 6, 0]"
fedavg_k3_ge10_le1_fixed_fc,5,3,10,1,0.1,0.001,37.46,1.8798431253433228,"[0, 1, 3]"
fedavg_k3_ge10_le1_fixed_fc,6,3,10,1,0.1,0.001,40.23,1.7979289981842042,"[3, 8, 0]"
fedavg_k3_ge10_le1_fixed_fc,7,3,10,1,0.1,0.001,42.28,1.730059098815918,"[8, 3, 6]"
fedavg_k3_ge10_le1_fixed_fc,8,3,10,1,0.1,0.001,43.5,1.6734330799102783,"[3, 7, 4]"
fedavg_k3_ge10_le1_fixed_fc,9,3,10,1,0.1,0.001,44.43,1.6258649528503417,"[0, 2, 6]"
fedavg_k3_ge10_le1_fixed_fc,10,3,10,1,0.1,0.001,45.7,1.5792669120788574,"[5, 4, 2]"
