Model,Adversarial Accuracy Before Denoise (%),Adversarial Accuracy After GaussianBlur (%),Accuracy Change After Denoise (%)
CNN,34.8,47.0,12.200000000000003
MobileNet,50.3,40.4,-9.899999999999999
