Model,Clean Accuracy (%),Adversarial Accuracy (%),Accuracy Drop on Adversarial Samples (%),After GaussianBlur Accuracy (%),GaussianBlur Change (%)
CNN,98.28,34.8,63.480000000000004,47.0,12.200000000000003
MobileNet,97.72,50.3,47.42,40.4,-9.899999999999999
